SKU_ID,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22
14571184,15,9,12,14,13,12,10,14,9,14,11,17,12,11,9,12
14571196,4,2,2,3,2,4,2,5,2,2,6,5,2,2,1,0
35383015,8,7,9,7,10,8,7,9,8,7,3,3,3,5,3,3
37100111,,,,,,,1,,,,,,0,0,0,0
37100125,,,,,,,,,,,,3,6,4,7,0
37100130,1,,2,,,,,,,,1,,0,0,0,0
37100140,3,3,3,4,3,3,3,4,1,4,6,4,3,4,2,0
37100220,3,2,,,,,2,1,,2,2,2,0,0,0,0
37100221,3,2,4,5,3,6,2,3,1,3,3,1,2,3,2,0
37100926,3,,,,,2,1,1,,,,,0,0,0,0
37200125,,,,,,,,,,,,1,3,1,1,0
37200926,3,,,,,,,1,1,,,1,0,0,0,0
37200930,,,,,1,,,,,1,,,0,0,0,0
37300412,6,6,6,5,7,5,,5,3,6,7,8,3,4,1,0
37300417,4,7,4,5,4,5,3,3,4,3,5,5,5,3,2,0
37300450,5,3,1,5,2,5,4,2,3,3,1,5,1,2,3,0
37300806,3,1,4,1,3,1,1,1,1,5,3,5,1,2,4,0
37400160,4,2,4,4,5,7,6,5,5,7,8,7,6,3,3,0
37400311,2,1,,,,,,,,,,,0,0,0,0
37500019,,,2,2,4,12,11,,,2,,,0,0,0,0
37500020,9,7,9,8,7,13,9,5,3,5,6,4,3,2,2,0
37500300,6,8,6,7,9,15,9,10,4,10,7,7,5,6,2,0
37500330,,1,,,,1,1,,,,,,0,0,0,0
37500331,9,11,13,3,,,,,,,,,0,0,0,0
37500332,9,14,18,11,13,17,10,5,4,6,,,0,0,0,0
37500334,13,14,17,9,4,,,,,,,,0,0,0,0
37500336,3,5,5,4,3,3,4,5,2,2,5,2,3,7,6,0
37500337,,,,,,,,1,,3,6,4,2,0,0,0
37500400,2,2,4,3,2,3,6,2,2,2,2,4,0,2,1,0
37500430,11,2,1,,7,16,14,5,5,11,10,7,5,4,3,0
37500431,,,,,,,,,,,,2,2,2,2,0
37500432,5,2,,5,7,10,7,7,2,7,6,4,3,4,5,0
37500435,8,,7,10,11,13,9,8,3,8,4,4,3,3,1,1
37500436,2,2,3,6,,2,5,4,,3,3,2,2,1,1,1
37500437,2,2,1,3,5,4,4,9,3,7,4,7,7,5,4,0
37500700,4,9,6,3,5,4,6,4,3,10,5,7,4,4,4,0
37500954,2,2,2,1,3,3,4,2,1,2,6,2,2,1,1,0
37500956,,2,1,3,2,3,6,1,2,2,4,2,4,3,2,0
37500960,1,,,,,,,,,,,,0,0,0,0
37500961,1,,,1,,,,,,,,,0,0,0,0
37500964,4,2,4,1,9,6,7,8,3,8,5,7,12,6,3,0
37500965,6,9,9,4,8,7,2,7,3,5,7,8,10,6,4,0
37500966,,,,,,,,1,,,,,0,1,0,0
37500969,5,3,3,,,,,3,,,2,,2,0,1,0
37600202,15,16,11,9,13,11,5,9,6,7,,,0,12,8,0
37600302,3,4,5,2,1,,1,5,2,,,,0,0,0,0
37600303,2,5,6,2,2,5,3,3,4,6,5,6,6,6,3,0
