SKU_ID,1,2,3,4,5,6
35383015,4099,3771,4174,3454,4056,3877
0FK30730,1425,0,8288,2779,3241,3321
0LK00120,10234,9854,9152,10049,3299,0
2AK01910,2187,2076,2629,1473,1386,1213
2AK04010,1285,902,1393,1506,1588,1456
2AK05530,6748,5039,6216,5218,5830,5740
2AK05630,4154,3178,4777,3908,3272,3991
2BK42310,7227,3247,9041,6537,7876,5579
2C640001,3236,3752,2393,2241,2494,0
2CK06010,8491,8222,8836,9149,8563,9180
2CK13811,7247,4693,4189,2913,2796,3002
2FK32753,29511,24638,25860,25944,27645,25338
2HK38020,2268,1662,1797,1640,1899,2038
2MK55810,0,1,11270,7704,5471,5974
2N143002,3294,2114,2756,2009,3163,2717
2O422003,13484,12672,9653,7396,10608,11188
2OK52810,47501,22961,22839,20764,33980,14133
2OK52813,51633,16561,18207,14848,19250,27500
2ST04980,12225,7683,13127,11526,11238,10814
2TK43610,7489,7063,6022,7720,9327,8385
3A013550,7814,5562,0,17970,2234,0
3A301000,11217,0,0,0,0,0
3AK01310,4393,5712,12,9136,4406,0
3AK05810,14151,13825,11307,10641,11720,16138
3AK10814,3034,1106,7385,3222,0,0
3AK10816,6657,4815,6263,5900,7532,4097
3AK58610,372,5370,2185,1011,2268,2427
3E195030,9321,7764,7976,6150,7461,7466
3EK03910,1539,1215,1258,1555,1672,939
3FK30910,6480,9932,8123,317,0,0
3FK31410,8694,6705,6313,8111,1896,10
3L000351,18261,19770,7854,478,0,0
3L425253,7733,5038,3937,2815,2800,3477
3NK57021,4695,499,0,13641,0,1
3TK03510,4633,3885,4698,3040,4102,3981
7DK18410,6494,6222,1601,8126,2942,10682
AB190423,1925,1323,1586,1551,1621,1521
AB728029,2654,1851,2084,1920,754,0
AB736625,4386,3889,3857,3794,3454,3176
AB736737,2128,2479,1989,2105,2090,2049
ACTAV020,3911,484,4146,706,1047,922
ACTAV041,3883,3639,3822,1774,6323,4018
ACTAV042,5170,4546,5481,3615,5846,5943
AN097177,1695,3814,2543,2005,394,0
BC000008,2650,3500,3325,2800,2150,2750
BI000070,3490,3453,3644,3251,3566,3701
BI000071,4745,5283,4979,5381,6066,5169
BI000079,1606,4223,2371,3880,4514,4435
BI000080,3303,7520,6311,8569,7417,110
BI000081,3787,2704,3034,3600,3962,3800
BI000133,2075,2099,1642,2002,2787,2544
BI000137,1590,1597,1478,1581,1578,1565
BI000138,1725,1191,1480,1358,1172,1270
BI000154,1379,1357,1291,1342,1819,1523
BI000161,1669,1127,1446,1699,1537,1357
BI000162,1277,1543,1407,1647,1323,1255
BI000207,2013,1612,1889,1536,2074,1795
BI000209,2022,2057,2045,1852,2179,2061
BI000231,3885,4259,5226,6943,6954,5352
BI000240,10517,4695,0,0,0,0
BI000251,2694,870,931,1128,1615,4979
BI000257,7868,6122,5580,3059,11201,9949
BI000258,3048,2649,1905,2832,2966,3039
BI286089,1550,0,1651,1973,1620,1420
BI287000,2085,1742,2133,1836,2527,3069
BI287109,2100,1979,2125,1910,932,0
BL000003,1830,1710,1792,2145,2865,2348
BY020014,2638,1870,1417,1219,1295,2084
BY040029,1810,1369,1619,1543,1874,1671
BY040036,6373,6028,9170,8013,8899,8509
BY040333,2287,2036,2438,1805,2571,2368
BY040425,2381,1944,2573,1857,2615,2395
BY040715,3970,3329,3996,3403,3706,3742
BY040869,2774,2737,3510,2553,2864,3164
BY040876,2681,1948,2246,2016,2474,2299
BY092007,4546,3420,4128,3688,3812,4220
BY092014,3348,2545,2838,2663,2977,544
BY092045,1816,1589,1573,1646,1812,1482
BY092052,2465,2959,2628,2364,3113,2644
BY092069,1930,1404,1699,1583,1818,1628
BY092229,7599,4662,4453,3273,4045,3787
BY092236,10739,5791,5399,2952,4389,4030
BY092250,0,0,4750,2627,3018,2525
BY092335,2755,2109,2356,2125,2381,2170
BY092366,7589,6038,6461,6745,6586,6296
BY092403,13858,11354,10670,10852,12718,12011
BY092502,4276,3424,3193,3169,3578,3530
BY092526,2711,1938,3952,3501,4883,3175
BY092557,6047,2693,3676,809,6021,3262
BY092564,4065,3204,3663,2804,5171,4152
BY092618,1976,1332,1483,1619,2043,1695
BY092625,12450,15129,11507,9137,9626,8511
BY092717,7467,6189,9248,8140,9710,8694
BY092779,8171,5177,6052,3720,4153,4850
BY092861,2688,3651,4995,4908,5015,4741
BY092878,4984,3343,1127,1161,4828,1920
BY092991,5039,4099,6794,4710,5937,6063
BY121262,12971,12352,9965,9832,6909,6363
BY876063,6659,6241,10148,9229,9586,8911
BY989852,836,847,1508,1865,2428,899
BY989883,822,1008,1462,2155,1777,1156
C2233202,6002,5105,6101,5190,5512,5369
C2240051,7081,3453,1001,8362,25105,3840
C2240102,455,0,2886,2770,3094,2868
C2240147,0,0,5848,3439,1418,1250
C2240187,3366,7957,2217,575,0,6080
C2240282,5874,5042,3715,2294,2083,1553
C2240283,7371,4761,3658,2634,2949,12
C2240284,2598,4027,2089,1089,506,13
C2240301,0,5044,2051,0,0,4182
C2240303,7812,1,18245,3186,10831,10907
C2240313,0,11603,4052,2552,7427,5490
C2241059,2590,874,3154,1424,362,1099
C2241103,1838,3847,2897,2401,2400,2362
C2241106,2044,1607,2108,1930,2045,1756
C2241109,1720,1236,798,808,1861,1401
C2241196,1522,1354,1723,1719,2332,2076
C2241203,3,106,6990,878,833,1052
C2241483,4947,64,3466,2366,419,2453
C2241492,16934,7088,6947,6577,5887,6000
C2241655,5,95,0,12283,1894,1080
C2241671,5950,5440,5026,4487,5740,5615
C2241672,13156,9749,10696,8075,7933,9791
C2241689,7052,0,6118,3303,3866,3750
C2241900,1,16683,2859,4775,5002,5596
C2242071,2204,1978,1921,1449,1642,1393
C2250000,2775,2459,2829,2683,3362,3507
C2252001,2921,2736,3007,2541,3272,3332
C2253063,1960,1800,2122,1560,2565,2285
C2253064,2336,2372,2698,1836,3226,2857
C2277001,1464,3099,537,495,1813,628
CI000005,6209,6646,8239,7063,8771,7749
DS626492,6647,6228,6909,6368,6913,7489
