MinMax of Q1 (under 10),MinMax of Q2 (under 10),MinMax of Q1 (over 10),MinMax of Q2 (over 10),No. of refreshes,No. of no space,No. of no inventory,sum of missing units
"(3, 4)","(3, 4)","(3, 6)","(3, 6)",7829,0,1752,344051
"(3, 4)","(3, 4)","(3, 6)","(3, 8)",6657,0,1702,329841
"(3, 4)","(3, 4)","(3, 6)","(3, 10)",6052,0,1659,321482
"(3, 4)","(3, 4)","(3, 6)","(3, 12)",5705,0,1637,318780
"(3, 4)","(3, 4)","(3, 6)","(3, 15)",5374,0,1616,309000
"(3, 4)","(3, 4)","(3, 6)","(3, 18)",5169,0,1584,307468
"(3, 4)","(3, 4)","(3, 6)","(3, 21)",5019,0,1580,305554
"(3, 4)","(3, 4)","(3, 6)","(3, 24)",4912,0,1576,302626
"(3, 4)","(3, 4)","(3, 6)","(4, 6)",9109,0,1696,332704
"(3, 4)","(3, 4)","(3, 6)","(4, 8)",7145,0,1640,320164
"(3, 4)","(3, 4)","(3, 6)","(4, 10)",6325,0,1617,315032
"(3, 4)","(3, 4)","(3, 6)","(4, 12)",5875,0,1606,307089
"(3, 4)","(3, 4)","(3, 6)","(4, 15)",5466,0,1587,299852
"(3, 4)","(3, 4)","(3, 6)","(4, 18)",5242,0,1560,291670
"(3, 4)","(3, 4)","(3, 6)","(4, 21)",5063,0,1562,289340
"(3, 4)","(3, 4)","(3, 6)","(4, 24)",4957,0,1549,287514
"(3, 4)","(3, 4)","(3, 8)","(3, 6)",6542,0,1657,325691
"(3, 4)","(3, 4)","(3, 8)","(3, 8)",5384,0,1608,312745
"(3, 4)","(3, 4)","(3, 8)","(3, 10)",4792,0,1564,304456
"(3, 4)","(3, 4)","(3, 8)","(3, 12)",4439,0,1546,302813
"(3, 4)","(3, 4)","(3, 8)","(3, 15)",4117,0,1520,293506
"(3, 4)","(3, 4)","(3, 8)","(3, 18)",3918,0,1489,288682
"(3, 4)","(3, 4)","(3, 8)","(3, 21)",3767,0,1487,288740
"(3, 4)","(3, 4)","(3, 8)","(3, 24)",3658,0,1486,288084
"(3, 4)","(3, 4)","(3, 8)","(4, 6)",7808,0,1600,315730
"(3, 4)","(3, 4)","(3, 8)","(4, 8)",5868,0,1548,303901
"(3, 4)","(3, 4)","(3, 8)","(4, 10)",5062,0,1523,298850
"(3, 4)","(3, 4)","(3, 8)","(4, 12)",4611,0,1513,291352
"(3, 4)","(3, 4)","(3, 8)","(4, 15)",4218,0,1492,284299
"(3, 4)","(3, 4)","(3, 8)","(4, 18)",3989,0,1466,278432
"(3, 4)","(3, 4)","(3, 8)","(4, 21)",3814,0,1472,278105
"(3, 4)","(3, 4)","(3, 8)","(4, 24)",3709,0,1452,275409
"(3, 4)","(3, 4)","(3, 10)","(3, 6)",5834,0,1608,315207
"(3, 4)","(3, 4)","(3, 10)","(3, 8)",4699,0,1558,299957
