MinMax of Q1 (under 10),MinMax of Q2 (under 10),MinMax of Q1 (over 10),MinMax of Q2 (over 10),No. of refreshes,No. of no space,No. of no inventory,sum of missing units
"(3, 4)","(3, 4)","(3, 6)","(3, 6)",7825,0,1758,343270
"(3, 4)","(3, 4)","(3, 6)","(3, 8)",6670,0,1707,328527
"(3, 4)","(3, 4)","(3, 6)","(3, 10)",6077,0,1667,321129
"(3, 4)","(3, 4)","(3, 6)","(3, 12)",5728,0,1648,319450
"(3, 4)","(3, 4)","(3, 6)","(3, 15)",5415,0,1621,310801
"(3, 4)","(3, 4)","(3, 6)","(3, 18)",5207,0,1589,305175
"(3, 4)","(3, 4)","(3, 6)","(4, 6)",9108,0,1699,331814
"(3, 4)","(3, 4)","(3, 6)","(4, 8)",7166,0,1647,319615
"(3, 4)","(3, 4)","(3, 6)","(4, 10)",6358,0,1621,314721
"(3, 4)","(3, 4)","(3, 6)","(4, 12)",5909,0,1607,307003
"(3, 4)","(3, 4)","(3, 6)","(4, 15)",5503,0,1591,301431
"(3, 4)","(3, 4)","(3, 6)","(4, 18)",5283,0,1566,290748
"(3, 4)","(3, 4)","(3, 8)","(3, 6)",6530,0,1650,322971
"(3, 4)","(3, 4)","(3, 8)","(3, 8)",5386,0,1602,310398
"(3, 4)","(3, 4)","(3, 8)","(3, 10)",4800,0,1560,301155
"(3, 4)","(3, 4)","(3, 8)","(3, 12)",4452,0,1543,300224
"(3, 4)","(3, 4)","(3, 8)","(3, 15)",4133,0,1522,290273
"(3, 4)","(3, 4)","(3, 8)","(3, 18)",3933,0,1483,288098
"(3, 4)","(3, 4)","(3, 8)","(4, 6)",7786,0,1594,313201
"(3, 4)","(3, 4)","(3, 8)","(4, 8)",5868,0,1544,301264
"(3, 4)","(3, 4)","(3, 8)","(4, 10)",5070,0,1518,297024
"(3, 4)","(3, 4)","(3, 8)","(4, 12)",4623,0,1509,289931
"(3, 4)","(3, 4)","(3, 8)","(4, 15)",4235,0,1491,284730
"(3, 4)","(3, 4)","(3, 8)","(4, 18)",4008,0,1465,278101
"(3, 4)","(3, 4)","(3, 10)","(3, 6)",5806,0,1611,315132
"(3, 4)","(3, 4)","(3, 10)","(3, 8)",4690,0,1558,300202
"(3, 4)","(3, 4)","(3, 10)","(3, 10)",4117,0,1525,293473
"(3, 4)","(3, 4)","(3, 10)","(3, 12)",3777,0,1505,290902
"(3, 4)","(3, 4)","(3, 10)","(3, 15)",3462,0,1484,283002
"(3, 4)","(3, 4)","(3, 10)","(3, 18)",3275,0,1462,276612
"(3, 4)","(3, 4)","(3, 10)","(4, 6)",7051,0,1547,304942
"(3, 4)","(3, 4)","(3, 10)","(4, 8)",5162,0,1503,294137
"(3, 4)","(3, 4)","(3, 10)","(4, 10)",4370,0,1481,291746
"(3, 4)","(3, 4)","(3, 10)","(4, 12)",3946,0,1470,282629
