MinMax of Q1 (under 10),MinMax of Q2 (under 10),MinMax of Q1 (over 10),MinMax of Q2 (over 10),No. of refreshes,rank1,No. of no space,No. of no inventory,rank2,sum of missing units
"(3, 4)","(3, 4)","(4, 18)","(4, 18)",2333,4,0,59,1,51335
"(3, 4)","(3, 5)","(4, 18)","(4, 18)",2333,4,0,59,1,51335
"(3, 4)","(4, 5)","(4, 18)","(4, 18)",2333,4,0,59,1,51335
"(3, 5)","(3, 4)","(4, 18)","(4, 18)",2333,4,0,59,1,51335
"(3, 5)","(3, 5)","(4, 18)","(4, 18)",2333,4,0,59,1,51335
"(3, 5)","(4, 5)","(4, 18)","(4, 18)",2333,4,0,59,1,51335
"(4, 5)","(3, 4)","(4, 18)","(4, 18)",2333,4,0,59,1,51335
"(4, 5)","(3, 5)","(4, 18)","(4, 18)",2333,4,0,59,1,51335
"(4, 5)","(4, 5)","(4, 18)","(4, 18)",2333,4,0,59,1,51335
"(3, 4)","(3, 4)","(4, 18)","(4, 12)",2909,22,0,63,2,53757
"(3, 4)","(3, 5)","(4, 18)","(4, 12)",2909,22,0,63,2,53757
"(3, 4)","(4, 5)","(4, 18)","(4, 12)",2909,22,0,63,2,53757
"(3, 5)","(3, 4)","(4, 18)","(4, 12)",2909,22,0,63,2,53757
"(3, 5)","(3, 5)","(4, 18)","(4, 12)",2909,22,0,63,2,53757
"(3, 5)","(4, 5)","(4, 18)","(4, 12)",2909,22,0,63,2,53757
"(4, 5)","(3, 4)","(4, 18)","(4, 12)",2909,22,0,63,2,53757
"(4, 5)","(3, 5)","(4, 18)","(4, 12)",2909,22,0,63,2,53757
"(4, 5)","(4, 5)","(4, 18)","(4, 12)",2909,22,0,63,2,53757
"(3, 4)","(3, 4)","(4, 18)","(4, 15)",2561,11,0,65,3,53173
"(3, 4)","(3, 5)","(4, 18)","(4, 15)",2561,11,0,65,3,53173
"(3, 4)","(4, 5)","(4, 18)","(4, 15)",2561,11,0,65,3,53173
"(3, 5)","(3, 4)","(4, 18)","(4, 15)",2561,11,0,65,3,53173
"(3, 5)","(3, 5)","(4, 18)","(4, 15)",2561,11,0,65,3,53173
"(3, 5)","(4, 5)","(4, 18)","(4, 15)",2561,11,0,65,3,53173
"(4, 5)","(3, 4)","(4, 18)","(4, 15)",2561,11,0,65,3,53173
"(4, 5)","(3, 5)","(4, 18)","(4, 15)",2561,11,0,65,3,53173
"(4, 5)","(4, 5)","(4, 18)","(4, 15)",2561,11,0,65,3,53173
"(3, 4)","(3, 4)","(4, 15)","(4, 18)",2626,12,0,71,4,60396
"(3, 4)","(3, 5)","(4, 15)","(4, 18)",2626,12,0,71,4,60396
"(3, 4)","(4, 5)","(4, 15)","(4, 18)",2626,12,0,71,4,60396
"(3, 5)","(3, 4)","(4, 15)","(4, 18)",2626,12,0,71,4,60396
"(3, 5)","(3, 5)","(4, 15)","(4, 18)",2626,12,0,71,4,60396
"(3, 5)","(4, 5)","(4, 15)","(4, 18)",2626,12,0,71,4,60396
"(4, 5)","(3, 4)","(4, 15)","(4, 18)",2626,12,0,71,4,60396
"(4, 5)","(3, 5)","(4, 15)","(4, 18)",2626,12,0,71,4,60396
"(4, 5)","(4, 5)","(4, 15)","(4, 18)",2626,12,0,71,4,60396
"(3, 4)","(3, 4)","(4, 18)","(3, 18)",2242,3,0,73,5,57376
"(3, 4)","(3, 5)","(4, 18)","(3, 18)",2242,3,0,73,5,57376
"(3, 4)","(4, 5)","(4, 18)","(3, 18)",2242,3,0,73,5,57376
"(3, 5)","(3, 4)","(4, 18)","(3, 18)",2242,3,0,73,5,57376
"(3, 5)","(3, 5)","(4, 18)","(3, 18)",2242,3,0,73,5,57376
"(3, 5)","(4, 5)","(4, 18)","(3, 18)",2242,3,0,73,5,57376
"(4, 5)","(3, 4)","(4, 18)","(3, 18)",2242,3,0,73,5,57376
"(4, 5)","(3, 5)","(4, 18)","(3, 18)",2242,3,0,73,5,57376
"(4, 5)","(4, 5)","(4, 18)","(3, 18)",2242,3,0,73,5,57376
"(3, 4)","(3, 4)","(4, 15)","(4, 15)",2845,20,0,73,5,61807
"(3, 4)","(3, 5)","(4, 15)","(4, 15)",2845,20,0,73,5,61807
"(3, 4)","(4, 5)","(4, 15)","(4, 15)",2845,20,0,73,5,61807
"(3, 5)","(3, 4)","(4, 15)","(4, 15)",2845,20,0,73,5,61807
"(3, 5)","(3, 5)","(4, 15)","(4, 15)",2845,20,0,73,5,61807
"(3, 5)","(4, 5)","(4, 15)","(4, 15)",2845,20,0,73,5,61807
"(4, 5)","(3, 4)","(4, 15)","(4, 15)",2845,20,0,73,5,61807
"(4, 5)","(3, 5)","(4, 15)","(4, 15)",2845,20,0,73,5,61807
"(4, 5)","(4, 5)","(4, 15)","(4, 15)",2845,20,0,73,5,61807
"(3, 4)","(3, 4)","(4, 18)","(4, 10)",3347,39,0,77,6,59891
"(3, 4)","(3, 5)","(4, 18)","(4, 10)",3347,39,0,77,6,59891
"(3, 4)","(4, 5)","(4, 18)","(4, 10)",3347,39,0,77,6,59891
"(3, 5)","(3, 4)","(4, 18)","(4, 10)",3347,39,0,77,6,59891
"(3, 5)","(3, 5)","(4, 18)","(4, 10)",3347,39,0,77,6,59891
"(3, 5)","(4, 5)","(4, 18)","(4, 10)",3347,39,0,77,6,59891
"(4, 5)","(3, 4)","(4, 18)","(4, 10)",3347,39,0,77,6,59891
"(4, 5)","(3, 5)","(4, 18)","(4, 10)",3347,39,0,77,6,59891
"(4, 5)","(4, 5)","(4, 18)","(4, 10)",3347,39,0,77,6,59891
"(3, 4)","(3, 4)","(4, 18)","(3, 15)",2432,7,0,78,7,57070
"(3, 4)","(3, 5)","(4, 18)","(3, 15)",2432,7,0,78,7,57070
"(3, 4)","(4, 5)","(4, 18)","(3, 15)",2432,7,0,78,7,57070
"(3, 5)","(3, 4)","(4, 18)","(3, 15)",2432,7,0,78,7,57070
